symptoms,disease,medicine,alterrnate_medicine,home_remedies,supportive_message,emergency
"neck stiffness, pain turning head, headache, muscle spasms, shoulder pain",Neck Pain,Paracetamol,Nirgundi,Hot compress,Maintain good posture and use ergonomic workstation setup,No
"limited movement, swelling",Knee Pain,Ibuprofen,Maharasnadi Kwath,Ice therapy,Maintain healthy weight and do regular low-impact exercises for knee health,No
"confusion, chest pain",Kidney Failure,Erythropoietin,Varun,Call emergency,Kidney failure requires immediate medical intervention and dialysis,Yes
"frequent urination, pelvic pain, urgency",Urinary Tract Infection,Norfloxacin,Punarnava,Cranberry juice,Complete full course of antibiotics and increase water intake,No
"irregular heartbeat, muscle pain",Electrocution,Antibiotics,Saraswatarishta,Do not touch victim,Turn off power source before helping and seek immediate medical attention,Yes
"decreased urination, swelling, fatigue, chest pain",Kidney Failure,Lasix,Gokshura,Avoid self-medication,Kidney failure requires immediate medical intervention and dialysis,Yes
"dizziness, headache, chest discomfort, shortness of breath",Hypertension,Telmisartan,Arjuna,Weight management,High blood pressure can be controlled with medication and lifestyle changes,No
"swelling, tenderness, discoloration, pain",Bruises,Ice Packs,Aloe Vera,Elevation,Most bruises heal naturally within 2-3 weeks,No
"unpleasant smell, foot odor",Body Odor,Deodorants,Neem,Clean clothes,Good personal hygiene and appropriate products control body odor,No
"nausea, head pain, dizziness, fatigue",Headache,Paracetamol,Shankhpushpi,Rest in dark room,Most headaches respond well to rest and pain relievers,No
"itchy skin, swelling, red rash",Skin Allergy,Prednisolone,Haridra,Cold compress,"Identify and avoid triggers, keep skin moisturized",No
"lack of energy, tiredness, sleepiness",Fatigue,Iron Supplements,Brahmi,Stress management,Maintain regular sleep schedule and balanced diet for energy,No
"bone pain, fatigue, slow wound healing, depression",Vitamin D Deficiency,Vitamin D3,Godanti Bhasma,Fish oil,Regular sunlight exposure and vitamin D supplements help,No
"bloating, abdominal cramps, dehydration, nausea",Diarrhea,Metronidazole,Kutaj,Rice water,Stay hydrated and seek medical help if diarrhea persists beyond 3 days,No
"heel pain, arch pain",Foot Pain,Ibuprofen,Mahanarayana Oil,Warm water soak,Proper footwear and foot care prevent most foot problems,No
"irritation, white flakes, flaky scalp, itching, dry scalp",Dandruff,Selenium Sulfide,Lemon,Manage stress,Use medicated shampoos regularly and manage stress levels,No
"open wound, pain, risk of infection",Minor Cuts,Pain Relievers,Calendula,Cover with bandage,"Keep wound clean and dry, change dressing regularly",No
"frequent awakening, daytime fatigue, irritability",Insomnia,Eszopiclone,Brahmi,Cool dark room,Good sleep hygiene and relaxation techniques improve sleep quality,No
"pelvic pain, burning urination",Urinary Tract Infection,Nitrofurantoin,Punarnavadi Mandur,Avoid holding urine,Complete full course of antibiotics and increase water intake,No
"burns, unconsciousness, confusion, muscle pain, difficulty breathing",Electrocution,Cardiac Monitoring,Brahmi,Call emergency,Turn off power source before helping and seek immediate medical attention,Yes
"gum problems, dry mouth, bad taste",Bad Breath,Antibacterial Mouthwash,Clove,Brush twice daily,Good oral hygiene and regular dental checkups prevent bad breath,No
"risk of infection, open wound, bleeding, pain",Minor Cuts,Antibiotic Ointment,Calendula,Clean wound,"Keep wound clean and dry, change dressing regularly",No
"swollen glands, scratchy feeling, hoarse voice",Sore Throat,Antibiotics if bacterial,Trikatu,Steam inhalation,Most sore throats are viral and resolve with symptomatic treatment,No
"fatigue, persistent sadness, sleep problems, hopelessness",Depression,Escitalopram,Saraswatarishta,Sunlight exposure,Depression is treatable - seek professional help and maintain social connections,No
"tenderness, pain",Bruises,Compression,Comfrey,Rest,Most bruises heal naturally within 2-3 weeks,No
"swelling, redness",Minor Burns,Pain Relievers,Honey,Aloe vera,"Cool water immediately, keep burn clean and protected",No
"face drooping, loss of balance",Stroke,Lisinopril,Medhya Rasayan,Do not give food or water,Time is brain - every minute matters in stroke treatment,Yes
"early waking, fatigue",Sleep Problems,Diphenhydramine,Brahmi,Regular sleep schedule,Good sleep hygiene and consistent bedtime routine improve sleep quality,No
"blue fingers, stiffness, cold fingers, numbness, poor circulation",Cold Hands,Massage,Ginger,Wear gloves,Keep hands warm and improve circulation with exercise,No
"confusion, dizziness, vision problems, face drooping, loss of balance",Stroke,Aspirin,Brahmi,Keep person still,Time is brain - every minute matters in stroke treatment,Yes
"stiffness, limited movement, difficulty walking, pain in groin, hip ache",Hip Pain,Ibuprofen,Yograj Guggulu,Heat therapy,Hip pain often improves with physiotherapy and appropriate exercises,No
"sweating, high body temperature, chills, dehydration",Fever,Paracetamol,Chirayata,Sponge with lukewarm water,Monitor temperature and seek medical help if fever persists beyond 3 days,No
"chest tightness, shortness of breath",Asthma,Budesonide,Bharangi,Honey with warm water,Always carry rescue inhaler and identify your asthma triggers,No
"pain, swelling, discoloration, tenderness",Bruises,Arnica,Turmeric,Avoid further injury,Most bruises heal naturally within 2-3 weeks,No
"frequent bowel movements, loose stools, dehydration, weakness, urgency",Diarrhea,Metronidazole,Dadimashtak Churna,ORS solution,Stay hydrated and seek medical help if diarrhea persists beyond 3 days,No
"bad breath, swelling, bleeding, tenderness, gum ache",Gum Pain,Antibiotics,Bakul,Antiseptic mouthwash,Good oral hygiene prevents most gum problems,No
"congestion, cough, headache, sore throat, body aches",Common Cold,Cetirizine,Sitopaladi Churna,Rest and sleep,Common cold usually resolves in 7-10 days with proper rest,No
"pain, swelling, risk of infection, embedded object",Splinters,Sterile Tweezers,Calendula,Sterilize tweezers,Remove splinter completely and watch for signs of infection,No
"dizziness, pain in left arm, sweating, nausea, jaw pain",Heart Attack,Aspirin,Pushkarmool,Call emergency immediately,Heart attack is a medical emergency - call 108 immediately and rush to hospital,Yes
"difficulty falling asleep, daytime fatigue, frequent awakening, mood changes",Insomnia,Melatonin,Ashwagandha,Cool dark room,Good sleep hygiene and relaxation techniques improve sleep quality,No
"runny nose, nasal irritation, congestion, frequent sneezing, watery eyes",Sneezing,Cetirizine,Ela,Steam inhalation,Identify and avoid triggers that cause sneezing,No
"sweating, dizziness, nausea, fatigue",Motion Sickness,Ondansetron,Mint,Ginger tea,Take motion sickness medication before traveling,No
"inability to breathe, loss of consciousness, blue skin",Choking,CPR,Immediate physical intervention required,Clear visible obstruction,Perform Heimlich maneuver immediately and call emergency services,Yes
"lower back pain, stiffness, pain radiating to legs",Back Pain,Muscle Relaxants,Mahanarayana Oil,Gentle stretching,Most back pain improves with rest and physiotherapy,No
"sensitivity to light, red eyes",Eye Irritation,Cold Compress,Triphala,Clean hands before touching,"Avoid allergens and irritants, practice good eye hygiene",No
"loss of appetite, fever",Appendicitis,Ondansetron,Kutaj,Rest quietly,Appendicitis requires immediate surgery - do not delay treatment,Yes
"ear ache, itching, hearing difficulty",Ear Pain,Paracetamol,Bilva Taila,Pain relievers,Most ear pain resolves with proper treatment and care,No
"stiffness, tingling, numbness, weakness, swelling",Arm Pain,Physiotherapy,Mahanarayana Oil,Rest,Most arm pain resolves with rest and appropriate treatment,No
"stiffness, pain radiating to legs, lower back pain",Back Pain,Muscle Relaxants,Nirgundi,Rest,Most back pain improves with rest and physiotherapy,No
"dehydration, urgency",Diarrhea,ORS,Jeeraka Aristha,BRAT diet,Stay hydrated and seek medical help if diarrhea persists beyond 3 days,No
"vomiting, confusion",Drug Overdose,Supportive Care,Emergency treatment required,Monitor breathing,Drug overdose requires immediate emergency medical intervention,Yes
"daytime fatigue, morning headaches",Snoring,Decongestants,Cardamom,Sleep on side,Weight loss and sleeping position changes often reduce snoring,No
"runny nose, watery eyes, frequent sneezing, congestion, nasal irritation",Sneezing,Antihistamines,Tulsi,Steam inhalation,Identify and avoid triggers that cause sneezing,No
"stiffness, arm ache, numbness, swelling",Arm Pain,Paracetamol,Rasna,Avoid repetitive movements,Most arm pain resolves with rest and appropriate treatment,No
"nasal discharge, reduced smell, postnasal drip, congestion, sneezing",Runny Nose,Nasal Decongestants,Ela,Warm liquids,Keep nasal passages moist and avoid irritants,No
"loose clothing, weakness, unintended weight loss, fatigue, loss of muscle mass",Weight Loss,Appetite Stimulants,Ashwagandha,High calorie foods,Focus on nutrient-dense foods and consult doctor for unexplained weight loss,No
"weakness, pale skin",Severe Bleeding,Blood Transfusion,Arjuna,Call emergency,Apply firm pressure to bleeding area and call emergency immediately,Yes
"not feeling hungry, weight loss",Loss of Appetite,Multivitamins,Ajwain,Ginger tea,Eat small frequent meals and include favorite foods to stimulate appetite,No
"swelling, numbness, finger ache, stiffness, difficulty gripping",Finger Pain,Ibuprofen,Mahanarayana Oil,Avoid overuse,Keep fingers active with gentle exercises to maintain mobility,No
"nausea, vomiting, difficulty breathing, confusion, seizures",Poisoning,Flumazenil,Mahamanjisthadi Kwath,Give water if conscious,Contact poison control center immediately - time is critical,Yes
"limited movement, instability",Knee Pain,Hyaluronic Acid,Maharasnadi Kwath,Elevation,Maintain healthy weight and do regular low-impact exercises for knee health,No
"seizures, vomiting, confusion, difficulty breathing, unconsciousness",Drug Overdose,Supportive Care,Seek immediate help,Monitor breathing,Drug overdose requires immediate emergency medical intervention,Yes
"postnasal drip, reduced smell, sneezing, congestion",Runny Nose,Nasal Decongestants,Pudina,Steam inhalation,Keep nasal passages moist and avoid irritants,No
"blackheads, acne, shiny skin, greasy feeling, enlarged pores",Oily Skin,Benzoyl Peroxide,Turmeric,Use toner,Use oil-free products and maintain consistent skincare routine,No
"hoarse voice, vocal fatigue",Voice Problems,Steam Inhalation,Tulsi,Steam inhalation,Rest your voice and stay hydrated for vocal cord healing,No
"sweating, vomiting, fatigue",Motion Sickness,Ginger,Lemon,Fresh air,Take motion sickness medication before traveling,No
"swelling, stiffness, numbness",Arm Pain,Muscle Relaxants,Rasna,Ice therapy,Most arm pain resolves with rest and appropriate treatment,No
"sensitivity, throbbing pain, swelling",Tooth Pain,Antiseptic Mouthwash,Clove Oil,Cold compress,See dentist promptly for proper diagnosis and treatment,No
"congestion, frequent sneezing, nasal irritation, runny nose, watery eyes",Sneezing,Cetirizine,Trikatu,Avoid allergens,Identify and avoid triggers that cause sneezing,No
"redness, minor blisters, pain, swelling",Minor Burns,Pain Relievers,Coconut Oil,Aloe vera,"Cool water immediately, keep burn clean and protected",No
"pain radiating to legs, lower back pain, difficulty moving, stiffness, muscle spasms",Back Pain,Tramadol,Vishgarbha Oil,Rest,Most back pain improves with rest and physiotherapy,No
"low fever, body aches, congestion, headache, cough",Common Cold,Phenylephrine,Mulethi,Drink warm liquids,Common cold usually resolves in 7-10 days with proper rest,No
"digestive issues, difficulty concentrating",Jet Lag,Sleep Aids,Ashwagandha,Avoid alcohol,Gradually adjust to new time zone and get sunlight exposure,No
"fatigue, insomnia",Jet Lag,Melatonin,Jatamansi,Avoid alcohol,Gradually adjust to new time zone and get sunlight exposure,No
"bone pain, slow wound healing, fatigue, frequent infections",Vitamin D Deficiency,Calcitriol,Asthishrinkhala,Vitamin D rich foods,Regular sunlight exposure and vitamin D supplements help,No
"weakness, swelling, tingling",Wrist Pain,Paracetamol,Vishgarbha Oil,Ergonomic adjustments,Wrist pain often results from repetitive use - take regular breaks,No
"tenderness, discoloration",Bruises,Compression,Ice,Ice application,Most bruises heal naturally within 2-3 weeks,No
"discharge, ringing",Ear Pain,Decongestants,Bilva Taila,Rest,Most ear pain resolves with proper treatment and care,No
"widespread rash, rapid pulse, dizziness, loss of consciousness, difficulty breathing",Severe Allergic Reaction,Prednisolone,Mahamanjisthadi Kwath,Call emergency immediately,Anaphylaxis is life-threatening - immediate medical intervention required,Yes
"difficulty concentrating, weakness, sleepiness, lack of energy",Fatigue,Modafinil,Chyawanprash,Healthy diet,Maintain regular sleep schedule and balanced diet for energy,No
"neck tension, fatigue",Headache,Naproxen,Saraswat Churna,Rest in dark room,Most headaches respond well to rest and pain relievers,No
"swelling, stiffness, clicking sound, instability",Knee Pain,Ibuprofen,Yograj Guggulu,Weight management,Maintain healthy weight and do regular low-impact exercises for knee health,No
